19:04:35.631986 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:37.132259 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:38.630191 IP 192.168.184.132.netbios-ns > 192.168.184.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
19:04:43.614957 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:04:43.615679 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:04:43.818733 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:44.819908 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:45.819838 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:47.822741 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:48.822687 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:49.821206 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:51.451683 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:51.822887 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:52.610048 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:52.820835 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:53.449673 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:53.821012 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:04:54.451687 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:55.616086 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.449986 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:04:56.825850 IP 192.168.184.131.58477 > 192.168.184.132.imaps: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019070 IP 192.168.184.131.58477 > 192.168.184.132.4111: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019099 IP 192.168.184.131.58477 > 192.168.184.132.webmin: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019104 IP 192.168.184.131.58477 > 192.168.184.132.8180: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019146 IP 192.168.184.132.1151 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019152 IP 192.168.184.132.6009 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019190 IP 192.168.184.132.57294 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019196 IP 192.168.184.132.55056 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019212 IP 192.168.184.132.vopied > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019216 IP 192.168.184.132.5862 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019242 IP 192.168.184.131.58477 > 192.168.184.132.afpovertcp: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019268 IP 192.168.184.131.58477 > 192.168.184.132.15000: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019273 IP 192.168.184.131.58477 > 192.168.184.132.5989: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019303 IP 192.168.184.131.58477 > 192.168.184.132.5555: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019307 IP 192.168.184.131.58477 > 192.168.184.132.2042: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019323 IP 192.168.184.131.58477 > 192.168.184.132.26214: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019343 IP 192.168.184.131.58477 > 192.168.184.132.1124: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019348 IP 192.168.184.131.58477 > 192.168.184.132.socks: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019364 IP 192.168.184.131.58477 > 192.168.184.132.1533: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019388 IP 192.168.184.131.58477 > 192.168.184.132.3918: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019392 IP 192.168.184.131.58477 > 192.168.184.132.64680: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019420 IP 192.168.184.131.58477 > 192.168.184.132.bacula-dir: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019424 IP 192.168.184.131.58477 > 192.168.184.132.bpjava-msvc: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019481 IP 192.168.184.132.1068 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019503 IP 192.168.184.132.3551 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019508 IP 192.168.184.132.259 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019524 IP 192.168.184.132.sane-port > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019544 IP 192.168.184.132.cfinger > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019548 IP 192.168.184.132.2040 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019577 IP 192.168.184.132.2013 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019582 IP 192.168.184.132.32773 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019600 IP 192.168.184.132.1053 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019605 IP 192.168.184.132.3659 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019620 IP 192.168.184.132.1310 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019625 IP 192.168.184.132.5801 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019640 IP 192.168.184.132.4111 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019656 IP 192.168.184.131.58477 > 192.168.184.132.1984: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019659 IP 192.168.184.131.58477 > 192.168.184.132.10024: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019677 IP 192.168.184.131.58477 > 192.168.184.132.1060: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019705 IP 192.168.184.131.58477 > 192.168.184.132.1152: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019710 IP 192.168.184.131.58477 > 192.168.184.132.2638: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019726 IP 192.168.184.131.58477 > 192.168.184.132.3546: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019731 IP 192.168.184.131.58477 > 192.168.184.132.3369: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019760 IP 192.168.184.131.58477 > 192.168.184.132.1121: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019765 IP 192.168.184.131.58477 > 192.168.184.132.625: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019780 IP 192.168.184.131.58477 > 192.168.184.132.16993: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019802 IP 192.168.184.131.58477 > 192.168.184.132.bgpd: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019807 IP 192.168.184.131.58477 > 192.168.184.132.5678: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019822 IP 192.168.184.131.58477 > 192.168.184.132.8010: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019845 IP 192.168.184.131.58477 > 192.168.184.132.32782: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019850 IP 192.168.184.131.58477 > 192.168.184.132.1113: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.019878 IP 192.168.184.132.webmin > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019883 IP 192.168.184.132.8180 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019900 IP 192.168.184.132.afpovertcp > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019904 IP 192.168.184.132.15000 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019934 IP 192.168.184.132.5989 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019939 IP 192.168.184.132.5555 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019954 IP 192.168.184.132.2042 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019959 IP 192.168.184.132.26214 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019986 IP 192.168.184.132.1124 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.019991 IP 192.168.184.132.socks > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020006 IP 192.168.184.132.1533 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020011 IP 192.168.184.132.3918 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020038 IP 192.168.184.131.58477 > 192.168.184.132.3031: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.020071 IP 192.168.184.132.64680 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020076 IP 192.168.184.132.bacula-dir > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020093 IP 192.168.184.132.bpjava-msvc > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020193 IP 192.168.184.132.1984 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020202 IP 192.168.184.132.10024 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020229 IP 192.168.184.132.1060 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020234 IP 192.168.184.132.1152 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020352 IP 192.168.184.132.2638 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020368 IP 192.168.184.132.3546 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020485 IP 192.168.184.132.3369 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020495 IP 192.168.184.132.1121 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020512 IP 192.168.184.132.625 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020517 IP 192.168.184.132.16993 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020532 IP 192.168.184.132.bgpd > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020537 IP 192.168.184.132.5678 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020552 IP 192.168.184.132.8010 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020557 IP 192.168.184.132.32782 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020572 IP 192.168.184.132.1113 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.020645 IP 192.168.184.132.3031 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.022614 IP 192.168.184.131.58477 > 192.168.184.132.1035: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022700 IP 192.168.184.131.58477 > 192.168.184.132.3071: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022723 IP 192.168.184.131.58477 > 192.168.184.132.2809: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022728 IP 192.168.184.131.58477 > 192.168.184.132.5877: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022745 IP 192.168.184.131.58477 > 192.168.184.132.27715: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022766 IP 192.168.184.131.58477 > 192.168.184.132.2035: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022770 IP 192.168.184.131.58477 > 192.168.184.132.32: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022797 IP 192.168.184.131.58477 > 192.168.184.132.17877: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022802 IP 192.168.184.131.58477 > 192.168.184.132.nfs: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022817 IP 192.168.184.131.58477 > 192.168.184.132.6565: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022839 IP 192.168.184.131.58477 > 192.168.184.132.2222: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022844 IP 192.168.184.131.58477 > 192.168.184.132.15742: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022859 IP 192.168.184.131.58477 > 192.168.184.132.3920: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022864 IP 192.168.184.131.58477 > 192.168.184.132.90: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022890 IP 192.168.184.131.58477 > 192.168.184.132.7937: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022895 IP 192.168.184.131.58477 > 192.168.184.132.5903: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022926 IP 192.168.184.131.58477 > 192.168.184.132.6699: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022931 IP 192.168.184.131.58477 > 192.168.184.132.55600: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022961 IP 192.168.184.131.58477 > 192.168.184.132.1999: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022966 IP 192.168.184.131.58477 > 192.168.184.132.32777: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.022981 IP 192.168.184.131.58477 > 192.168.184.132.6129: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023001 IP 192.168.184.131.58477 > 192.168.184.132.12345: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023022 IP 192.168.184.131.58477 > 192.168.184.132.1075: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023042 IP 192.168.184.131.58477 > 192.168.184.132.1974: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023047 IP 192.168.184.131.58477 > 192.168.184.132.5859: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023076 IP 192.168.184.131.58477 > 192.168.184.132.50006: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023082 IP 192.168.184.131.58477 > 192.168.184.132.1169: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023097 IP 192.168.184.131.58477 > 192.168.184.132.3269: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023119 IP 192.168.184.131.58477 > 192.168.184.132.18988: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023123 IP 192.168.184.131.58477 > 192.168.184.132.4005: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023139 IP 192.168.184.131.58477 > 192.168.184.132.2009: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023160 IP 192.168.184.131.58477 > 192.168.184.132.1301: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023167 IP 192.168.184.131.58477 > 192.168.184.132.42510: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023193 IP 192.168.184.131.58477 > 192.168.184.132.7070: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023198 IP 192.168.184.131.58477 > 192.168.184.132.7402: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023216 IP 192.168.184.131.58477 > 192.168.184.132.3889: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023236 IP 192.168.184.131.58477 > 192.168.184.132.1095: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023241 IP 192.168.184.131.58477 > 192.168.184.132.1089: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023285 IP 192.168.184.132.1035 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023291 IP 192.168.184.132.3071 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023322 IP 192.168.184.132.2809 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023327 IP 192.168.184.132.5877 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023342 IP 192.168.184.132.27715 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023362 IP 192.168.184.132.2035 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023367 IP 192.168.184.132.32 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023382 IP 192.168.184.132.17877 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023387 IP 192.168.184.132.nfs > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023402 IP 192.168.184.132.6565 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023407 IP 192.168.184.132.2222 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023424 IP 192.168.184.132.15742 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023445 IP 192.168.184.132.3920 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023450 IP 192.168.184.132.90 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023465 IP 192.168.184.132.7937 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023470 IP 192.168.184.132.5903 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023487 IP 192.168.184.132.6699 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023502 IP 192.168.184.131.58477 > 192.168.184.132.kerberos-adm: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023506 IP 192.168.184.131.58477 > 192.168.184.132.rmiregistry: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023523 IP 192.168.184.131.58477 > 192.168.184.132.1122: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023552 IP 192.168.184.131.58477 > 192.168.184.132.spamd: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023558 IP 192.168.184.131.58477 > 192.168.184.132.5510: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023574 IP 192.168.184.131.58477 > 192.168.184.132.1051: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023596 IP 192.168.184.131.58477 > 192.168.184.132.16016: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023601 IP 192.168.184.131.58477 > 192.168.184.132.50300: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023616 IP 192.168.184.131.58477 > 192.168.184.132.48080: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023639 IP 192.168.184.131.58477 > 192.168.184.132.1076: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023644 IP 192.168.184.131.58477 > 192.168.184.132.2045: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023671 IP 192.168.184.132.55600 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023676 IP 192.168.184.132.1999 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023706 IP 192.168.184.132.32777 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023711 IP 192.168.184.132.6129 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023726 IP 192.168.184.132.12345 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023731 IP 192.168.184.132.1075 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023758 IP 192.168.184.132.1974 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023763 IP 192.168.184.132.5859 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023778 IP 192.168.184.132.50006 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023782 IP 192.168.184.132.1169 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023797 IP 192.168.184.132.3269 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023813 IP 192.168.184.131.58477 > 192.168.184.132.9040: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.023883 IP 192.168.184.132.18988 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023891 IP 192.168.184.132.4005 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023916 IP 192.168.184.132.2009 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023976 IP 192.168.184.132.1301 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.023984 IP 192.168.184.132.42510 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024008 IP 192.168.184.132.7070 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024013 IP 192.168.184.132.7402 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024089 IP 192.168.184.132.3889 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024098 IP 192.168.184.132.1095 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024183 IP 192.168.184.132.1089 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024188 IP 192.168.184.132.kerberos-adm > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024209 IP 192.168.184.132.rmiregistry > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024240 IP 192.168.184.132.1122 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024245 IP 192.168.184.132.spamd > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024265 IP 192.168.184.132.5510 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024270 IP 192.168.184.132.1051 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024285 IP 192.168.184.132.16016 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024294 IP 192.168.184.132.50300 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024373 IP 192.168.184.132.48080 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024381 IP 192.168.184.132.1076 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024444 IP 192.168.184.132.2045 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.024448 IP 192.168.184.132.9040 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.026406 IP 192.168.184.131.58477 > 192.168.184.132.20005: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026425 IP 192.168.184.131.58477 > 192.168.184.132.git: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026494 IP 192.168.184.131.58477 > 192.168.184.132.1805: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026499 IP 192.168.184.131.58477 > 192.168.184.132.9503: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026517 IP 192.168.184.131.58477 > 192.168.184.132.32784: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026538 IP 192.168.184.131.58477 > 192.168.184.132.3007: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026543 IP 192.168.184.131.58477 > 192.168.184.132.1042: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026559 IP 192.168.184.131.58477 > 192.168.184.132.5952: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026579 IP 192.168.184.131.58477 > 192.168.184.132.2288: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026584 IP 192.168.184.131.58477 > 192.168.184.132.1935: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026627 IP 192.168.184.132.20005 > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.026632 IP 192.168.184.132.git > 192.168.184.131.58477: Flags [R.], seq 0, ack 4278299907, win 0, length 0
19:05:11.026662 IP 192.168.184.131.58477 > 192.168.184.132.31337: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026667 IP 192.168.184.131.58477 > 192.168.184.132.1875: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
19:05:11.026684 IP 192.168.184.131.58477 > 192.168.184.132.10215: Flags [S], seq 4278299906, win 1024, options [mss 1460], length 0
