19:12:13.207477 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:12:13.208242 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:12:13.410242 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:14.408118 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:15.410108 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:17.412486 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:18.414511 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:19.412617 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:21.414260 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:22.414352 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:23.414382 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:26.415309 IP 192.168.184.131.55457 > 192.168.184.132.telnet: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:15:30.770158 IP 192.168.184.132.20828 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770162 IP 192.168.184.132.5859 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770177 IP 192.168.184.132.425 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770182 IP 192.168.184.132.2004 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770209 IP 192.168.184.131.33634 > 192.168.184.132.kerberos-adm: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.770214 IP 192.168.184.131.33634 > 192.168.184.132.6106: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.770231 IP 192.168.184.131.33634 > 192.168.184.132.eklogin: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.770236 IP 192.168.184.131.33634 > 192.168.184.132.isakmp: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.770270 IP 192.168.184.131.33634 > 192.168.184.132.14000: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.770275 IP 192.168.184.131.33634 > 192.168.184.132.cvspserver: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.770301 IP 192.168.184.132.rfe > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770305 IP 192.168.184.132.6692 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770374 IP 192.168.184.132.911 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770378 IP 192.168.184.132.23502 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770393 IP 192.168.184.132.1074 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770419 IP 192.168.184.132.9944 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770424 IP 192.168.184.132.1124 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770439 IP 192.168.184.132.541 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770443 IP 192.168.184.132.2030 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770458 IP 192.168.184.132.19801 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770463 IP 192.168.184.132.593 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770676 IP 192.168.184.132.5100 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770691 IP 192.168.184.132.1700 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770834 IP 192.168.184.132.648 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770839 IP 192.168.184.132.56738 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770856 IP 192.168.184.132.4321 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770861 IP 192.168.184.132.3325 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770876 IP 192.168.184.132.2967 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770880 IP 192.168.184.132.kerberos-adm > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770895 IP 192.168.184.132.6106 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770899 IP 192.168.184.132.eklogin > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770915 IP 192.168.184.132.isakmp > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770919 IP 192.168.184.132.14000 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.770934 IP 192.168.184.132.cvspserver > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.772958 IP 192.168.184.131.33634 > 192.168.184.132.646: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773054 IP 192.168.184.131.33634 > 192.168.184.132.52822: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773061 IP 192.168.184.131.33634 > 192.168.184.132.1066: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773078 IP 192.168.184.131.33634 > 192.168.184.132.34572: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773098 IP 192.168.184.131.33634 > 192.168.184.132.3551: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773102 IP 192.168.184.131.33634 > 192.168.184.132.1044: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773118 IP 192.168.184.131.33634 > 192.168.184.132.668: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773138 IP 192.168.184.131.33634 > 192.168.184.132.xmpp-client: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773142 IP 192.168.184.131.33634 > 192.168.184.132.61532: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773160 IP 192.168.184.131.33634 > 192.168.184.132.3001: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773180 IP 192.168.184.131.33634 > 192.168.184.132.2042: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773186 IP 192.168.184.131.33634 > 192.168.184.132.1500: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773201 IP 192.168.184.131.33634 > 192.168.184.132.1110: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773221 IP 192.168.184.131.33634 > 192.168.184.132.nntps: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773226 IP 192.168.184.131.33634 > 192.168.184.132.9290: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773241 IP 192.168.184.131.33634 > 192.168.184.132.24800: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773266 IP 192.168.184.131.33634 > 192.168.184.132.49158: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773271 IP 192.168.184.131.33634 > 192.168.184.132.daap: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773298 IP 192.168.184.131.33634 > 192.168.184.132.264: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773303 IP 192.168.184.131.33634 > 192.168.184.132.50800: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773344 IP 192.168.184.132.646 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773349 IP 192.168.184.132.52822 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773370 IP 192.168.184.132.1066 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773384 IP 192.168.184.131.33634 > 192.168.184.132.2301: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773387 IP 192.168.184.131.33634 > 192.168.184.132.12174: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773421 IP 192.168.184.131.33634 > 192.168.184.132.49176: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773443 IP 192.168.184.131.33634 > 192.168.184.132.1045: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773447 IP 192.168.184.131.33634 > 192.168.184.132.5225: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773462 IP 192.168.184.131.33634 > 192.168.184.132.3390: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773493 IP 192.168.184.132.34572 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773499 IP 192.168.184.132.3551 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773515 IP 192.168.184.132.1044 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773535 IP 192.168.184.132.668 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773539 IP 192.168.184.132.xmpp-client > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773593 IP 192.168.184.131.33634 > 192.168.184.132.44442: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773598 IP 192.168.184.131.33634 > 192.168.184.132.211: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773615 IP 192.168.184.131.33634 > 192.168.184.132.5226: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773635 IP 192.168.184.131.33634 > 192.168.184.132.27356: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773640 IP 192.168.184.131.33634 > 192.168.184.132.3268: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773655 IP 192.168.184.131.33634 > 192.168.184.132.49999: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773675 IP 192.168.184.131.33634 > 192.168.184.132.1443: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773680 IP 192.168.184.131.33634 > 192.168.184.132.webmin: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773711 IP 192.168.184.131.33634 > 192.168.184.132.32774: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773715 IP 192.168.184.131.33634 > 192.168.184.132.20031: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773731 IP 192.168.184.131.33634 > 192.168.184.132.34573: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773777 IP 192.168.184.132.61532 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773799 IP 192.168.184.132.3001 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773804 IP 192.168.184.132.2042 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773819 IP 192.168.184.132.1500 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773839 IP 192.168.184.132.1110 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773843 IP 192.168.184.132.nntps > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773858 IP 192.168.184.132.9290 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773863 IP 192.168.184.132.24800 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773892 IP 192.168.184.132.49158 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773897 IP 192.168.184.132.daap > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773912 IP 192.168.184.132.264 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773917 IP 192.168.184.132.50800 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773932 IP 192.168.184.132.2301 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773936 IP 192.168.184.132.12174 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773951 IP 192.168.184.132.49176 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773955 IP 192.168.184.132.1045 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.773982 IP 192.168.184.131.33634 > 192.168.184.132.5988: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.773986 IP 192.168.184.131.33634 > 192.168.184.132.1063: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774004 IP 192.168.184.131.33634 > 192.168.184.132.7937: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774008 IP 192.168.184.131.33634 > 192.168.184.132.1145: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774024 IP 192.168.184.131.33634 > 192.168.184.132.5989: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774028 IP 192.168.184.131.33634 > 192.168.184.132.5810: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774061 IP 192.168.184.132.5225 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774065 IP 192.168.184.132.3390 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774082 IP 192.168.184.132.44442 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774086 IP 192.168.184.132.211 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774101 IP 192.168.184.132.5226 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774209 IP 192.168.184.132.27356 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774218 IP 192.168.184.132.3268 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774246 IP 192.168.184.132.49999 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774251 IP 192.168.184.132.1443 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774268 IP 192.168.184.132.webmin > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774276 IP 192.168.184.131.33634 > 192.168.184.132.3971: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774363 IP 192.168.184.131.33634 > 192.168.184.132.3998: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774371 IP 192.168.184.131.33634 > 192.168.184.132.7435: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774403 IP 192.168.184.131.33634 > 192.168.184.132.1185: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774408 IP 192.168.184.131.33634 > 192.168.184.132.login: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774435 IP 192.168.184.131.33634 > 192.168.184.132.omniorb: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774440 IP 192.168.184.131.33634 > 192.168.184.132.1999: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.774482 IP 192.168.184.132.32774 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774487 IP 192.168.184.132.20031 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774554 IP 192.168.184.132.34573 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774559 IP 192.168.184.132.5988 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774574 IP 192.168.184.132.1063 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774578 IP 192.168.184.132.7937 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774593 IP 192.168.184.132.1145 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774597 IP 192.168.184.132.5989 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774627 IP 192.168.184.132.5810 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774632 IP 192.168.184.132.3971 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774648 IP 192.168.184.132.3998 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774652 IP 192.168.184.132.7435 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774667 IP 192.168.184.132.1185 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774671 IP 192.168.184.132.login > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774698 IP 192.168.184.132.omniorb > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.774703 IP 192.168.184.132.1999 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.776848 IP 192.168.184.131.33634 > 192.168.184.132.8701: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.776860 IP 192.168.184.131.33634 > 192.168.184.132.1328: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.776959 IP 192.168.184.131.33634 > 192.168.184.132.2007: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.776964 IP 192.168.184.131.33634 > 192.168.184.132.1233: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.776992 IP 192.168.184.131.33634 > 192.168.184.132.9943: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.776997 IP 192.168.184.131.33634 > 192.168.184.132.16016: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777013 IP 192.168.184.131.33634 > 192.168.184.132.8085: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777017 IP 192.168.184.131.33634 > 192.168.184.132.7106: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777044 IP 192.168.184.131.33634 > 192.168.184.132.1000: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777049 IP 192.168.184.131.33634 > 192.168.184.132.10001: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777075 IP 192.168.184.131.33634 > 192.168.184.132.1098: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777080 IP 192.168.184.131.33634 > 192.168.184.132.gsiftp: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777095 IP 192.168.184.131.33634 > 192.168.184.132.bacula-fd: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777114 IP 192.168.184.131.33634 > 192.168.184.132.50003: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777119 IP 192.168.184.131.33634 > 192.168.184.132.49175: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777134 IP 192.168.184.131.33634 > 192.168.184.132.tcpmux: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777160 IP 192.168.184.131.33634 > 192.168.184.132.6668: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777164 IP 192.168.184.131.33634 > 192.168.184.132.ospfapi: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777191 IP 192.168.184.131.33634 > 192.168.184.132.691: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777195 IP 192.168.184.131.33634 > 192.168.184.132.898: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777237 IP 192.168.184.132.8701 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777272 IP 192.168.184.132.1328 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777277 IP 192.168.184.132.2007 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777292 IP 192.168.184.132.1233 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777297 IP 192.168.184.132.9943 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777312 IP 192.168.184.132.16016 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777316 IP 192.168.184.132.8085 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777343 IP 192.168.184.131.33634 > 192.168.184.132.100: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777348 IP 192.168.184.131.33634 > 192.168.184.132.27352: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777365 IP 192.168.184.131.33634 > 192.168.184.132.gris: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777370 IP 192.168.184.131.33634 > 192.168.184.132.49155: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777385 IP 192.168.184.131.33634 > 192.168.184.132.55600: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777424 IP 192.168.184.132.7106 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777429 IP 192.168.184.132.1000 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777448 IP 192.168.184.132.10001 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777453 IP 192.168.184.132.1098 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777468 IP 192.168.184.132.gsiftp > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777482 IP 192.168.184.131.33634 > 192.168.184.132.3828: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777485 IP 192.168.184.131.33634 > 192.168.184.132.6: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777502 IP 192.168.184.131.33634 > 192.168.184.132.1166: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777507 IP 192.168.184.131.33634 > 192.168.184.132.4045: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777554 IP 192.168.184.132.bacula-fd > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777559 IP 192.168.184.132.50003 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777580 IP 192.168.184.132.49175 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777584 IP 192.168.184.132.tcpmux > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777600 IP 192.168.184.132.6668 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777613 IP 192.168.184.131.33634 > 192.168.184.132.32776: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777617 IP 192.168.184.131.33634 > 192.168.184.132.2001: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777634 IP 192.168.184.131.33634 > 192.168.184.132.44443: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777638 IP 192.168.184.131.33634 > 192.168.184.132.3871: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777682 IP 192.168.184.132.ospfapi > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777687 IP 192.168.184.132.691 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777707 IP 192.168.184.132.898 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777721 IP 192.168.184.131.33634 > 192.168.184.132.3827: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777725 IP 192.168.184.131.33634 > 192.168.184.132.1079: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777742 IP 192.168.184.131.33634 > 192.168.184.132.3784: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777746 IP 192.168.184.131.33634 > 192.168.184.132.1046: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777780 IP 192.168.184.131.33634 > 192.168.184.132.time: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777785 IP 192.168.184.131.33634 > 192.168.184.132.5850: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777812 IP 192.168.184.131.33634 > 192.168.184.132.40193: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777817 IP 192.168.184.131.33634 > 192.168.184.132.51493: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777861 IP 192.168.184.132.100 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777866 IP 192.168.184.132.27352 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777894 IP 192.168.184.132.gris > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777899 IP 192.168.184.132.49155 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777914 IP 192.168.184.132.55600 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777918 IP 192.168.184.132.3828 > 192.168.184.131.33634: Flags [R.], seq 0, ack 3751167894, win 0, length 0
19:15:30.777945 IP 192.168.184.131.33634 > 192.168.184.132.zope-ftp: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777949 IP 192.168.184.131.33634 > 192.168.184.132.5030: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
19:15:30.777972 IP 192.168.184.131.33634 > 192.168.184.132.omirr: Flags [S], seq 3751167893, win 1024, options [mss 1460], length 0
